Ano;Tipo de Emenda;Autor da emenda;Número da emenda;Localidade do gasto (Regionalização);Função;Subfunção;Programa Orçamentário;Ação Orçamentária;Plano Orçamentário;Código da emenda;Valor empenhado;Valor liquidado;Valor pago;Valor Restos a Pagar Inscritos;Valor Restos a Pagar Cancelados;Valor Restos a Pagar Pagos
2020;Emenda Individual - Transferências com Finalidade Definida;REINHOLD STEPHANES JUNIOR;7;PARANÁ (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;8282 - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;2,02042E+11;1.000.000,00;0;0;1.000.000,00;1.000.000,00;0
2020;Emenda Individual - Transferências com Finalidade Definida;PEDRO LUCAS FERNANDES;13;MARANHÃO (UF);Educação;Ensino profissional;5012 - EDUCACAO PROFISSIONAL E TECNOLOGICA;20RG - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA - DESPESAS DIVERSAS;2,02041E+11;1.000.000,00;957.253,00;926.713,90;73.286,10;0;73.286,10
2021;Emenda Individual - Transferências com Finalidade Definida;ERIKA KOKAY;16;DISTRITO FEDERAL (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,02128E+11;1.000.000,00;1.000.000,00;700.000,00;600.000,00;0;300.000,00
2020;Emenda Individual - Transferências com Finalidade Definida;AUREO RIBEIRO;7;MÚLTIPLO;Educação;Educação básica;5011 - EDUCACAO BASICA DE QUALIDADE;0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA;APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA - DESPESAS DIVERSAS;2,02028E+11;1.000.000,00;0;0;1.829.930,00;0;170.070,00
2020;Emenda Individual - Transferências com Finalidade Definida;SORAYA THRONICKE;8;MÚLTIPLO;Educação;Educação básica;5011 - EDUCACAO BASICA DE QUALIDADE;20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA;APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS;2,02041E+11;1.000.000,00;0;0;2.000.000,00;0;0
2020;Emenda Individual - Transferências com Finalidade Definida;IVAN VALENTE;4;SÃO PAULO (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;8282 - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;2,02032E+11;1.000.000,00;0;0;1.000.000,00;0;1.000.000,00
2020;Emenda Individual - Transferências com Finalidade Definida;CARLOS VERAS;10;PERNAMBUCO (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;0048 - APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS;APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS - DESPESAS DIVERSAS;2,02039E+11;1.000.000,00;0;0;1.460.000,00;0;540.000,00
2024;Emenda Individual - Transferências com Finalidade Definida;AUGUSTO PUPPIO;10;PARÁ (UF);Educação;Ensino superior;5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE;20RK - FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR - DESPESAS DIVERSAS;2,02443E+11;1.000.000,00;0;0;1.000.000,00;0;1.000.000,00
2020;Emenda Individual - Transferências com Finalidade Definida;ALEXANDRE PADILHA;1;SÃO PAULO (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20RK - FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR - DESPESAS DIVERSAS;2,02039E+11;1.000.000,00;553.182,75;553.182,75;446.817,25;3.975,89;442.841,36
2021;Emenda Individual - Transferências com Finalidade Definida;DR. LUIZ ANTONIO TEIXEIRA JR.;11;RIO DE JANEIRO (UF);Educação;Assistência hospitalar e ambulatorial;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;4086 - FUNCIONAMENTO E GESTAO DE INSTITUICOES HOSPITALARES FEDERAIS DE ENSINO;FUNCIONAMENTO E GESTAO DE INSTITUICOES HOSPITALARES FEDERAIS - DESPESAS DIVERSAS;2,0214E+11;1.000.000,00;1.000.000,00;1.000.000,00;0;0;0
2020;Emenda Individual - Transferências com Finalidade Definida;JANDIRA FEGHALI;5;RIO DE JANEIRO (UF);Educação;Assistência hospitalar e ambulatorial;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;4086 - FUNCIONAMENTO E GESTAO DE INSTITUICOES HOSPITALARES FEDERAIS DE ENSINO;FUNCIONAMENTO E GESTAO DE INSTITUICOES HOSPITALARES FEDERAIS - DESPESAS DIVERSAS;2,02018E+11;1.000.000,00;1.000.000,00;1.000.000,00;0;0;0
2020;Emenda Individual - Transferências com Finalidade Definida;JADER BARBALHO;3;MARABÁ - PA;Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;8282 - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;2,02023E+11;1.000.000,00;945.045,21;763.948,34;236.051,66;0;236.051,66
2020;Emenda Individual - Transferências com Finalidade Definida;JOSE AIRTON FELIX CIRILO;17;FORTIM - CE;Educação;Educação básica;5011 - EDUCACAO BASICA DE QUALIDADE;0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA;APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA - DESPESAS DIVERSAS;2,02024E+11;1.000.000,00;0;0;2.000.000,00;0;0
2021;Emenda Individual - Transferências com Finalidade Definida;LUIZA ERUNDINA;16;DISTRITO FEDERAL (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,02136E+11;1.000.000,00;239.100,00;135.400,00;1.730.759,98;0;863.040,02
2024;Emenda Individual - Transferências com Finalidade Definida;LAURA CARNEIRO;11;RIO DE JANEIRO (UF);Educação;Ensino superior;5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,02433E+11;1.000.000,00;0;0;1.962.500,00;0;37.500,00
2023;Emenda Individual - Transferências com Finalidade Definida;PAULO ROCHA;3;PARÁ (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;8282 - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;2,02338E+11;1.000.000,00;1.000.000,00;891.649,21;0;0;108.350,79
2024;Emenda Individual - Transferências com Finalidade Definida;ELI BORGES;13;TOCANTINS (UF);Educação;Ensino superior;5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE;0048 - APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS;APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS - DESPESAS DIVERSAS;2,0244E+11;1.000.000,00;0;0;2.000.000,00;0;0
2020;Emenda Individual - Transferências com Finalidade Definida;MARCIO JERRY;12;MARANHÃO (UF);Educação;Educação básica;5011 - EDUCACAO BASICA DE QUALIDADE;0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA;APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA - DESPESAS DIVERSAS;2,02039E+11;1.000.000,00;0;0;2.000.000,00;0;0
2024;Emenda Individual - Transferências com Finalidade Definida;JOSE GUIMARAES;1;CEARÁ (UF);Educação;Ensino superior;5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE;20RK - FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR - DESPESAS DIVERSAS;2,02424E+11;1.000.000,00;1.000.000,00;950.467,15;49.532,85;0;49.532,85
2021;Emenda Individual - Transferências com Finalidade Definida;DANIEL SILVEIRA;5;RIO DE JANEIRO (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,0214E+11;1.000.000,00;1.000.000,00;1.000.000,00;0;0;0
2020;Emenda Individual - Transferências com Finalidade Definida;MARCOS AURELIO SAMPAIO;4;PIAUÍ (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;0048 - APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS;APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS - DESPESAS DIVERSAS;2,0204E+11;1.000.000,00;0;0;2.000.000,00;0;0
2020;Emenda Individual - Transferências com Finalidade Definida;CACA LEAO;7;BAHIA (UF);Educação;Ensino profissional;5012 - EDUCACAO PROFISSIONAL E TECNOLOGICA;20RL - FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA - DESPESAS DIVERSAS;2,02031E+11;1.000.000,00;215.582,70;196.911,64;897.428,38;129.492,88;579.255,46
2024;Emenda Individual - Transferências com Finalidade Definida;CARLOS PORTINHO;13;ITABORAÍ - RJ;Educação;Educação básica;5111 - EDUCACAO BASICA DEMOCRATICA, COM QUALIDADE E EQUIDADE;0E53 - AQUISICAO DE VEICULOS PARA O TRANSPORTE ESCOLAR DA EDUCACAO BASICA - CAMINHO DA ESCOLA;AQUISICAO DE VEICULOS PARA O TRANSPORTE ESCOLAR DA EDUCACAO BASICA - CAMINHO DA ESCOLA - DESPESAS DIVERSAS;2,02442E+11;1.000.000,00;0;0;2.000.000,00;0;0
2020;Emenda Individual - Transferências com Finalidade Definida;PAULAO;13;ALAGOAS (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;0048 - APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS;APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS - DESPESAS DIVERSAS;2,0203E+11;1.000.000,00;0;0;2.000.000,00;0;0
2022;Emenda Individual - Transferências com Finalidade Definida;SOSTENES CAVALCANTE;7;RIO DE JANEIRO (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20RK - FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR - DESPESAS DIVERSAS;2,02238E+11;1.000.000,00;0;0;1.001.776,33;0;998.223,67
2020;Emenda Individual - Transferências com Finalidade Definida;FELIPE CARRERAS;10;RECIFE - PE;Educação;Educação básica;5011 - EDUCACAO BASICA DE QUALIDADE;20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA;APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS;2,02032E+11;1.000.000,00;0;0;2.000.000,00;0;0
2021;Emenda Individual - Transferências com Finalidade Definida;BENEDITA DA SILVA;5;RIO DE JANEIRO (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,02113E+11;1.000.000,00;1.000.000,00;0;2.000.000,00;0;1.000.000,00
